"regular-font-size"
"বিয়ের বাতাস, মুম্বাইয়ে ১৩ হাজারের হোটেল ভাড়া বেড়ে ৯১ হাজার টাকা!"
"বিশ্বভ্রমণে ভারতীয়দের নতুন রেকর্ড"
"ফুলশয্যার ভিডিও শেয়ার করলেন নবদম্পতি! নিন্দার ঝড়"
"ছেলের মৃত্যু চেয়ে আদালতে বাবা! আবেদন খারিজ"
"চার বছর বয়সী মেয়েকে লিভার দান করলেন বাবা"
"‘পুরুষদের আত্মহত্যার জন্য দায়ী নারী’"
"বিশ্ব আবহাওয়া পরিস্থিতি : ১০ জুলাই"
"ভিসা জালিয়াতি নিয়ে মেলোনির অভিযোগের পর ইতালিতে আটক ৪০"
"বাইডেনের প্রার্থিতা নিয়ে চ্যালেঞ্জ জানালেন তার দলের সিনেটর"
"ব্রিটেনের নতুন সরকারে রুশনারা ও টিউলিপ যে দায়িত্ব পালন করবেন"
"নারী কর্মীরা হিজাব না পরায় ইরানে বন্ধ তার্কিস এয়ারলাইন্সের অফিস"
"ছাত্রের সাথে যৌনতা, যুক্তরাষ্ট্রে স্কুলের ২ নারী কর্মী গ্রেপ্তার"
"ত্রিপুরায় স্কুল-কলেজের শিক্ষার্থীদের মাঝে ছড়িয়ে পড়েছে এইচআইভি"
"ইইউর জরিমানার পর ডেলিভারি হিরোর শেয়ারে ব্যাপক পতন"
"যুবকের ট্রাউজারের ভেতর মিলল শতাধিক জীবন্ত সাপ"
"দ. আফ্রিকায় স্কুলগামী মিনিবাস উল্টে আগুনে পুড়ে ১২ শিশুর মৃত্যু"
"গাজায় ছড়িয়ে পড়ছে দুর্ভিক্ষ, অন্তত ৩৩ শিশুর মৃত্যু  : জাতিসংঘ"
"ইউক্রেনকে আরও এয়ার ডিফেন্স সিস্টেম দেবে ন্যাটো"
"রান্না করতে দেরি করায় শ্বশুরবাড়ির লোকজনের হাতে খুন পুত্রবধূ"
"পশ্চিম তীরে ইহুদি বসতি সম্প্রসারণের নিন্দা ইসরায়েলি জেনারেলের"
"ভয়াবহ, রেকর্ডভাঙা তাপপ্রবাহে পুড়ছে যুক্তরাষ্ট্রের পশ্চিমাঞ্চল"
"স্ত্রীকে সাপের কামড়, উভয়কে নিয়েই হাসপাতালে ছুটলেন স্বামী"
"ক্ষতিপূরণ চেয়ে কানাডার সরকারের বিরুদ্ধে মামলা"
"ড. ইউনূসের বিচার নিবিড়ভাবে নজরে রাখছে যুক্তরাষ্ট্র : মিলার"
"ভারতে এক্সপ্রেসওয়েতে ভয়াবহ দুর্ঘটনা, নিহত অন্তত ১৮"
"যুক্তরাজ্যের নতুন সরকারে বাংলাদেশি বংশোদ্ভূত রুশনারা আলীও"
"দুই বাইকের মুখোমুখি সংঘর্ষ, মুহূর্তেই পুড়ে অঙ্গার ৪ প্রাণ"
"বিতর্কিত অরুণাচলে ১২টি বিদ্যুৎকেন্দ্র নির্মাণ করছে ভারত"
"রাশিয়ায় এবার নাভালনির বিধবা স্ত্রীকে গ্রেপ্তারের নির্দেশ"
"গাজায় বাস্তুচ্যুতদের ক্যাম্পে ইসরায়েলের বর্বর হামলা, নিহত ২৯"
"ডুবে গেল ইরানের যুদ্ধজাহাজ"
"যুক্তরাজ্যের প্রতিমন্ত্রী হলেন বঙ্গবন্ধুর নাতনি টিউলিপ সিদ্দিক"
"কুয়েতে মিনিবাস দুর্ঘটনায় ৭ প্রবাসী নিহত"
"জার্মানিতে আশ্রয় আবেদনের সংখ্যা কমেছে"
"সিরিয়ায় হামলা চালিয়েছে ইসরায়েল"
"হাতে হাত ধরে চলন্ত ট্রেনের সামনে শুয়ে পড়লেন বাবা-ছেলে"
"যুদ্ধে আহত ১০ হাজার ইসরায়েলি সেনা, মানসিক সমস্যায় ভুগছে অনেকে"
"প্লাস্টিক সার্জারি করে অপরাধীদের চেহারা বদলে দিচ্ছে কিছু হাসপাতাল"
"কিডনি প্রতিস্থাপন চক্রের ‘মূলহোতা’ বাংলাদেশি : দিল্লি পুলিশ"
"২২ বছর আগে নিখোঁজ, বরফ গলার পর পাহাড়ে মিলল মরদেহ"
"ক্যানসার রোগীর মৃত্যু ক্যানসারে হয় না, চাঞ্চল্যকর দাবি গবেষকের"
"‘বিশ্বের জঘন্য অপরাধীকে আলিঙ্গন করেছেন মোদি’, বললেন জেলেনস্কি"
